MOVIE_ID,THREE,FOUR,FIVE
81205,1,0,0
19779,1,5,3
60447,0,0,4
23604,0,0,7
77800,2,3,11
21190,2,6,4
55301,1,4,43
44121,4,5,32
85200,14,18,20
58764,1,2,16
26110,0,2,2
81803,21,67,106
1136,35,35,20
24319,40,88,240
45266,6,9,84
863,6,6,0
13832,146,506,1362
11935,120,250,1200
47533,30,57,84
79477,2,6,0
11017,18,16,72
68323,0,8,2
2486,1,0,0
59911,9,9,22
79258,0,2,2
10451,0,1,1
66776,3,15,62
60085,120,460,590
36054,6,0,6
15640,0,2,60
71910,0,2,0
74956,3,18,81
6593,6,6,0
83057,14,64,284
53283,1,11,1
74723,12,16,10
85132,8,28,48
66829,12,4,6
20001,0,0,2
71180,6,15,34
20624,1,0,1
16259,0,1,12
61492,4,8,6
46199,0,5,7
32306,0,2,4
39084,4,0,0
36507,1,6,2
4367,2,5,9
24959,42,175,315
51626,4,8,10
70503,2,16,64
74419,0,5,6
45578,4,16,42
45522,0,9,33
56176,3,17,78
16678,49,196,616
81140,0,0,1
17755,16,24,92
33247,2,22,70
59233,0,2,2
71428,2,104,372
11123,6,12,24
67098,249,277,400
82607,0,1,0
11847,1,1,4
52173,0,6,5
29863,2,0,3
58669,20,10,20
49324,3,2,2
17700,2,8,20
33538,2,6,46
47664,6,0,0
13450,3,6,6
17416,8,24,18
14658,64,102,138
67030,45,140,260
51579,134,156,140
66979,4,14,6
33442,0,4,6
19485,0,1,1
55765,2,1,1
52903,20,5,32
9702,2,0,1
11552,42,129,186
24663,1,2,2
51231,0,0,1
57787,1,5,0
27439,0,2,0
27714,3,0,0
28043,1,5,5
230,0,4,22
652,2,0,0
64210,2,4,1
11658,0,0,2
17871,1,2,1
17542,9,27,39
48047,0,1,1
63117,0,28,28
10556,4,0,18
2307,0,0,12
83520,36,144,117
14786,12,30,66
32675,15,12,12
46052,2,3,5
8609,6,36,78
60334,100,190,670
26128,0,0,3
29201,3,9,30
45657,4,8,8
84283,25,55,210
16315,0,3,3
2412,1,1,1
29811,0,5,1
22343,2,9,5
7844,6,18,21
45143,14,49,144
62577,438,610,878
56905,0,3,1
6889,3,15,69
33949,2,4,14
64294,1,1,0
57285,96,276,588
52149,6,2,22
45902,6,16,26
15615,0,25,95
19904,1,0,0
51589,4,10,29
5241,38,78,44
31546,2,12,25
27079,216,432,1035
66532,0,6,14
42510,2,4,55
11551,3,0,0
5400,2,5,6
64657,0,1,12
66378,4,16,46
67596,10,10,6
30721,24,76,260
7894,4,10,16
20948,0,4,0
83737,4,2,8
78380,1,1,4
76874,0,1,0
2212,115,123,92
15726,3,6,20
67378,7,9,9
77360,10,29,30
16016,1,0,0
19193,24,128,512
75046,0,10,24
71556,0,0,2
59898,20,50,180
57678,24,63,69
22403,24,92,120
7554,3,14,81
32603,28,64,204
39050,7,25,75
29801,42,193,547
51098,1,0,0
83436,0,2,0
34503,0,5,2
85182,22,32,18
18853,0,2,0
29433,30,66,45
67933,0,0,2
5073,1,14,33
56768,15,9,0
64156,2,0,0
13739,1,2,2
71926,0,0,3
1889,0,5,1
8177,18,64,130
33216,1,5,4
9771,8,4,80
55484,79,226,248
21851,32,104,640
59307,4,4,16
58282,3,3,15
55583,0,0,3
48331,42,66,276
11767,0,0,10
57615,24,32,24
74641,49,77,56
46762,17,33,163
49513,26,28,25
52874,4,0,12
44036,12,16,8
47491,0,1,3
72463,12,49,290
43059,0,1,0
77463,16,12,8
30005,36,92,204
34648,24,18,90
34869,4,21,47
13867,0,0,1
79239,0,12,3
67580,0,0,4
13225,1,0,2
84236,10,44,112
58620,4,4,6
39511,0,2,0
82143,1,1,0
55877,0,7,23
80058,2,2,20
38828,20,20,0
61148,0,1,0
42046,0,3,30
10302,56,128,140
69236,1,0,1
17331,0,6,0
50481,0,0,1
56652,0,0,6
64709,7,21,44
55270,8,76,184
68318,14,119,245
5176,147,278,1206
80886,0,0,1
52726,0,6,3
83567,2,4,6
46391,1,0,0
74955,3,7,26
53680,15,0,0
5764,7,42,35
28777,4,44,52
59343,4,8,4
13598,0,1,0
77324,0,0,3
20819,2,0,0
30350,20,65,75
8396,0,2,10
37901,8,4,0
80176,4,2,10
36977,0,2,1
28545,2,4,36
58500,12,38,46
44700,0,2,6
67756,5,29,78
58544,0,1,0
23639,0,1,0
65005,0,1,2
71822,2,9,77
4212,16,48,92
54422,0,55,185
56998,0,0,1
44260,2,1,3
5342,1,3,10
69756,54,126,200
11870,0,0,6
20744,6,6,6
39928,24,26,28
8389,14,38,55
11167,6,13,96
50502,12,45,135
18564,0,0,2
78191,0,2,2
63628,1,25,108
73187,2,0,1
64505,54,150,417
55676,4,5,32
38576,60,75,100
33122,42,82,140
12832,41,94,160
72262,2,0,11
83994,8,6,14
73961,0,1,9
598,2,2,3
47144,2,12,34
70067,4,28,4
67470,12,8,16
3951,2,6,42
9185,0,0,1
9692,0,1,2
25211,2,2,10
42677,27,22,30
8741,1,1,0
73844,3,1,1
37121,0,0,2
35149,0,1,2
50394,466,744,1288
67282,2,2,2
29610,6,22,132
75110,16,52,329
49726,9,15,27
30179,30,36,54
50391,0,1,0
72344,0,4,64
19236,0,4,2
37930,1,1,3
46202,0,0,1
69116,36,56,92
73668,0,4,72
44610,10,10,40
26121,0,0,4
30856,0,2,43
69980,14,52,500
50046,0,0,2
26478,3,0,3
32695,4,13,24
81200,11,12,16
76494,30,64,131
969,0,4,1
78932,28,56,64
75910,3,24,48
25788,17,51,283
12329,0,1,0
37613,24,32,48
73216,1,3,6
45777,4,3,2
62222,70,155,175
59428,64,120,232
42802,20,590,1030
46501,1,0,0
34350,15,65,65
53046,15,27,21
33734,1,3,2
18353,0,91,84
54813,3,3,4
31761,60,168,224
58605,2,3,0
20020,2,18,24
7768,40,86,118
32694,0,0,1
74686,6,6,6
50331,0,5,16
37124,14,49,168
25792,340,660,1910
18952,2,2,0
2896,1,1,5
63207,0,1,1
10615,9,33,18
27992,3,18,119
75930,51,127,752
43015,3,10,25
19843,2,6,14
43310,0,1,0
80279,2,14,38
13872,4,6,4
37955,3,3,3
25776,5,5,25
23700,0,0,6
65788,0,2,18
19534,4,4,3
4649,80,108,320
12804,7,21,0
82256,208,281,216
10765,5,14,33
82493,4,12,116
21301,2,6,30
80952,6,16,33
45197,0,7,8
61448,2,0,1
53578,0,0,1
28839,0,0,1
25082,6,10,26
60729,0,14,20
11830,0,0,3
32078,0,6,3
21075,2,3,7
53278,4,6,10
70434,2,4,20
80931,0,0,1
7115,0,1,0
55114,2,2,22
3370,3,1,0
43587,0,1,1
54872,0,0,3
21172,14,26,65
67963,36,112,560
18368,2,9,29
38025,2,7,17
1702,56,155,179
83056,124,573,2538
35264,49,139,331
9618,26,28,20
77402,12,28,52
44023,12,0,3
21927,1,3,2
2495,87,267,1134
43397,4,10,14
49473,0,0,2
79905,88,216,112
60123,120,480,970
9648,20,21,14
32682,0,3,8
50335,0,0,4
47773,30,72,354
4894,28,182,868
2798,0,0,6
66675,28,140,168
819,21,20,19
70014,171,474,637
41727,15,21,57
84869,36,108,608
23896,4,14,30
69660,12,16,28
55077,21,105,140
62892,1,3,1
49495,0,0,1
2335,3,15,15
42136,6,10,10
30312,0,1,4
2560,30,90,190
12230,5,7,7
24387,5,11,8
24386,1,9,7
30311,0,1,4
59047,0,0,5
70907,4,4,10
16634,2,6,24
48858,15,50,194
14879,160,180,140
43875,1,0,0
67043,5,8,6
60687,20,60,130
48761,4,2,0
73077,0,9,15
39637,80,184,2141
31426,0,5,10
22676,12,12,16
866,25,25,10
54385,0,0,3
32633,24,44,144
17906,0,4,4
7786,0,2,0
19558,0,2,3
23860,0,0,3
63772,5,6,9
45791,0,0,2
63892,0,0,1
32757,0,1,2
35678,0,21,196
29613,0,3,3
8467,3,30,70
46446,4,6,14
50325,1,2,2
20981,0,2,4
72412,0,0,2
62796,0,0,3
68590,8,13,9
32129,1,12,30
72148,2,8,51
1497,0,2,2
34860,6,18,54
48432,71,98,145
1776,0,4,16
54567,57,126,136
23,1,0,2
70631,90,186,354
13066,0,2,12
44473,4,4,6
39376,138,387,657
54306,16,22,28
32195,4,18,22
29132,1,9,30
63034,1,0,0
50050,0,0,6
66780,84,105,129
10080,0,1,2
81409,6,2,2
77242,0,2,2
73861,0,0,1
23797,18,24,36
43447,0,12,21
6660,2,4,16
54800,0,0,1
22829,2,0,0
76069,8,26,72
71130,0,0,15
62989,0,2,0
33376,3,15,6
17746,3,15,9
53929,8,16,36
55940,1,0,0
16134,0,0,12
72178,0,6,30
18509,1,4,7
2279,10,30,420
28985,0,0,3
64464,2,5,7
44337,1,16,62
78400,0,0,1
7810,8,16,0
57642,10,35,125
50618,4,13,16
30491,17,10,14
47005,3,18,72
43214,2,5,21
23519,2,2,2
76827,18,54,60
16215,48,96,222
80078,1,0,0
82653,12,64,80
76767,8,64,360
76287,12,18,33
41787,8,6,22
69311,8,8,4
22024,2,5,40
59112,0,2,6
32065,4,16,75
63636,24,30,39
37500,0,2,4
60574,8,8,0
933,6,8,8
47495,0,0,2
52987,1,2,9
37345,1,1,0
79573,162,204,313
71863,1,1,1
60301,4,16,62
30490,36,20,28
69380,9,3,15
55812,0,0,2
8660,5,1,4
4914,1,0,3
71677,0,0,100
61707,0,0,6
10337,6,3,18
7741,6,4,10
80212,24,81,126
73789,6,6,22
23310,0,2,0
16105,40,52,24
56782,0,0,12
981,0,0,4
55509,0,3,0
13594,3,1,22
2795,14,10,36
17658,0,2,17
61577,2,2,2
41272,14,12,26
83848,98,272,550
14419,6,3,24
60252,6,0,0
13334,6,1,1
21191,0,3,1
11439,1,0,0
14214,0,0,1
40984,55,72,112
4542,0,0,2
78070,10,0,0
8100,10,8,18
4458,1,5,23
46680,11,19,10
4525,3,0,3
22012,0,2,4
41489,0,10,42
16923,0,0,4
14758,3,0,0
31953,2,0,0
59660,2,4,8
17797,8,4,0
81085,0,0,6
80450,0,24,128
10943,6,12,9
51542,0,3,0
68316,0,0,8
55003,8,28,40
20282,2,2,3
20285,0,2,6
58069,16,16,20
69903,1,1,32
76834,0,0,1
73460,2,7,5
41547,0,9,72
23775,12,8,4
53735,0,1,0
70873,2,7,23
80055,1,3,18
50640,1,4,8
50632,2,10,10
67061,2,2,10
31456,312,656,1136
61495,24,12,66
73022,6,0,9
37303,3,3,1
46631,24,36,39
9514,5,3,11
50648,1,4,8
46695,1,0,2
48912,0,1,0
6607,1,22,24
61864,2,4,2
70290,3,6,7
2546,20,36,48
35479,14,70,308
13111,2,4,0
81231,0,0,1
80696,0,1,3
75891,41,212,443
35603,112,88,112
54238,2,6,14
35619,25,35,115
40120,16,8,4
44673,0,0,4
69129,5,16,39
72397,14,16,12
75931,62,182,898
1806,0,3,9
50315,3,9,0
80124,12,45,224
23090,4,2,4
21553,3,2,1
47025,0,1,0
22637,0,3,1
29217,6,4,2
47694,0,8,8
8219,0,2,1
67982,4,24,33
55350,0,4,2
82968,0,4,28
72737,0,1,25
79204,49,44,17
29875,1,1,0
13439,0,4,22
75298,1,5,12
48361,12,6,28
52205,1,1,0
45247,10,0,5
9581,4,10,18
6511,0,2,4
12029,32,177,400
42364,0,1,10
19884,2,1,19
1318,0,6,12
41954,6,4,12
53217,0,1,1
4358,8,8,12
74498,28,60,72
3971,0,0,3
25295,6,18,39
45235,12,20,84
21950,8,24,118
33603,0,0,1
85027,8,18,14
61466,1,1,2
76975,6,15,44
73479,0,1,0
78902,3,0,0
47248,110,360,1090
75088,1,3,14
38652,10,14,20
30413,42,96,222
82274,63,74,85
34270,1,0,0
47092,2,16,10
11686,0,0,1
22995,2,1,4
33607,0,0,2
33508,15,54,169
71981,92,156,266
14945,2,1,1
53075,232,312,208
10311,2,3,7
28395,0,18,18
23857,0,1,0
2741,12,48,114
19740,0,8,74
76717,12,10,8
13496,0,4,6
46196,4,2,12
31305,0,1,0
72874,4,6,49
29185,1,3,4
58455,196,376,604
47082,6,137,134
75170,0,4,8
50290,374,567,1132
66738,0,112,942
51192,6,27,30
7332,4,9,49
21353,21,70,49
84460,0,0,2
40651,1,5,50
73995,1,7,20
43887,2,15,42
34234,0,3,15
84121,0,0,14
53923,0,7,31
53351,8,35,66
73477,5,10,23
71355,1,0,4
81343,36,140,174
9417,0,1,0
40818,45,177,253
19928,3,0,0
28674,8,6,39
1568,1,0,33
35313,126,160,242
70894,0,8,16
16763,1,2,3
52965,0,4,30
40345,0,0,2
83138,2,9,31
74825,0,1,4
3325,40,74,273
28402,5,38,209
81888,10,4,8
15453,326,810,2076
46017,2,0,0
31621,0,0,4
24583,78,96,180
53582,2,4,4
62425,8,8,46
7951,0,7,22
64642,10,23,86
51822,102,252,420
21961,15,39,63
75962,4,28,50
1069,2,2,4
67811,0,0,6
80534,22,40,116
16771,0,6,0
24809,2,4,14
84709,8,18,14
12040,2,14,34
43408,94,232,346
26838,168,108,140
63886,91,25,60
53189,35,45,137
82369,0,10,45
3395,20,35,77
3082,5,0,0
6723,0,5,15
82591,0,0,10
56708,2,3,6
58148,2,2,3
46996,12,24,16
79596,3,4,6
47197,3,6,6
18885,9,30,179
9729,3,10,31
62362,6,18,32
39844,1,0,1
52369,0,4,2
55772,3,6,23
40989,1,0,2
2211,115,123,92
59785,0,1,2
50547,1,2,12
82280,10,9,44
69191,1,0,0
55278,0,20,20
48534,0,15,40
15234,36,66,88
61421,29,25,23
73706,32,46,46
11608,21,80,428
18941,8,13,37
57005,6,18,12
68838,9,12,15
75686,0,1,0
9320,0,7,24
28663,25,75,144
83654,1,3,38
68808,4,3,14
46034,14,48,298
35663,24,116,1394
84101,0,1,0
65702,28,36,188
82623,0,6,10
84052,1,0,1
35302,0,2,0
48689,0,0,2
76658,0,0,2
52399,10,22,43
49191,18,24,24
78009,4,4,16
24473,70,230,560
78240,4,0,8
47847,0,1,0
12300,61,134,252
47836,32,68,168
61422,9,8,11
72433,33,100,250
72854,2,2,3
76681,6,8,20
57044,11,12,21
24544,0,0,3
36539,40,90,124
561,1,13,10
57043,11,12,21
78767,1,1,3
53275,2,2,2
4967,40,26,42
12729,5,25,15
41559,160,437,815
49680,6,4,1
37920,4,6,12
60262,40,210,780
6121,6,13,13
8658,0,0,2
1955,4,5,26
14354,0,0,2
31594,0,0,4
872,0,0,3
21676,14,28,44
45183,1,1,29
65392,0,3,12
19988,12,8,15
16125,21,29,42
66264,89,165,128
33059,1,5,8
53949,0,0,5
32913,1,5,8
32837,0,7,24
51258,3,2,0
48765,6,6,51
83285,13,15,10
58173,0,4,0
51877,0,2,6
71203,20,75,105
12591,0,2,7
78726,9,23,147
68366,5,23,129
19087,0,1,1
62383,0,0,16
74876,131,251,214
69702,2,9,6
56326,21,41,185
33336,3,3,4
62422,0,6,14
14983,0,1,0
57041,22,24,42
14262,49,63,91
14344,8,20,106
73151,3,9,36
31581,1,1,14
82029,36,68,188
25421,1,2,11
60360,1,0,3
30939,48,20,40
46357,6,6,2
42963,2,1,0
15502,2,0,2
18554,40,165,300
74121,9,18,58
51053,0,1,0
15741,62,100,126
39230,6,29,51
23048,12,51,99
20654,164,266,866
56678,5,7,34
71466,26,47,134
48962,2,4,32
75587,3,7,20
58104,1,3,11
56406,0,0,3
4257,20,116,176
58733,0,0,1
76295,1,0,2
82523,56,40,72
60359,1,1,2
26646,2,4,3
75008,2,6,22
29976,0,6,20
23104,9,36,47
69233,4,0,5
28824,0,2,0
39691,5,6,3
71071,32,128,256
18696,36,86,79
65145,1,2,0
20596,0,1,2
16167,25,35,75
79302,1,2,4
85175,6,21,72
22268,32,112,168
26689,3,18,9
24277,8,6,4
8588,2,6,16
59974,0,0,6
9359,6,9,6
57094,0,14,16
76396,14,10,10
51748,3,6,66
26821,1,0,2
19619,77,42,35
16333,4,16,16
59226,0,0,4
74637,24,80,88
43142,4,5,47
52602,0,2,6
68571,2,4,7
72124,2,4,2
38649,50,70,100
50607,63,217,378
5708,1,0,0
40285,4,4,0
71557,25,30,10
44552,0,0,3
45277,0,40,80
50083,24,36,117
50655,16,20,30
9851,2,10,82
53343,16,40,200
63198,3,2,8
81714,14,21,28
52693,55,139,536
11083,3,9,13
34729,2,7,13
60154,116,260,224
1064,2,18,34
35461,60,180,430
66,3,5,36
72232,36,84,192
39937,91,224,602
80850,53,73,69
27800,280,640,3060
7531,13,49,22
80086,15,45,15
73689,8,4,8
34307,0,0,1
42702,2,1,9
31640,7,8,24
12136,8,4,0
35719,14,10,14
82132,0,2,0
57106,0,0,1
42704,0,0,5
59256,127,349,1159
62311,2,6,12
18275,4,0,0
289,44,74,85
8679,4,8,104
35342,4,4,0
56446,0,0,4
19374,1,4,2
141,0,0,8
41975,0,0,18
14682,0,1,0
9127,14,48,30
60473,3,18,99
23325,18,12,108
18290,0,0,1
5633,17,32,18
21356,3,24,123
21311,9,39,129
6766,4,20,56
21376,1,13,20
70828,1,0,0
17809,2,0,0
51431,8,28,28
46567,2,0,3
35160,8,6,9
24690,30,150,162
81468,0,0,2
28590,2,2,3
52933,2,6,3
41432,0,0,1
35825,1,1,7
59284,0,0,2
53400,0,1,2
58061,10,20,10
55287,0,3,9
58065,2,6,2
47466,2,0,4
53374,48,86,398
14472,0,0,2
23340,3,0,0
567,3,2,8
44976,2,3,15
30643,6,35,49
34058,0,0,2
37371,1,4,10
69238,0,2,1
79761,0,0,2
75612,9,22,47
40795,8,10,39
69363,84,69,54
5931,0,0,1
34209,26,72,198
41301,0,0,4
71080,36,225,621
11818,0,2,1
29553,6,3,30
66516,0,1,0
67381,0,0,6
33381,1,2,3
48097,27,69,54
79556,0,0,1
39721,20,40,110
58373,7,3,19
64410,3,4,0
7206,57,96,153
46340,28,140,196
34160,12,33,149
55715,0,4,14
37946,26,18,8
75134,56,50,33
45291,3,12,12
38434,0,2,0
31913,72,26,35
16726,3,6,26
81968,413,756,1113
85261,26,26,90
83130,60,136,552
21845,3,9,47
59114,147,231,315
74196,3,2,4
64014,0,22,60
55476,2,2,6
45985,0,0,1
7364,0,1,4
32784,4,4,16
75719,0,1,2
76435,0,1,2
37472,4,0,0
73345,0,1,1
3814,4,0,0
9972,2,3,12
21846,1,12,96
52344,20,32,28
59633,0,0,1
58577,0,2,0
80204,52,78,76
25793,204,396,1146
52330,0,1,1
23202,4,12,46
37600,2,2,4
12895,0,0,2
13203,2,26,49
55162,2,1,2
51,1,0,0
7274,276,684,1734
68298,0,0,4
42342,1,0,1
640,1,0,3
23454,3,19,42
37114,3,7,2
22953,6,0,15
32962,5,98,70
79773,0,2,1
45636,2,8,28
50339,4,0,8
33540,9,5,3
26314,3,14,215
10060,0,2,4
35795,3,6,15
42125,0,1,0
61086,0,1,3
10412,2,2,6
40012,0,4,2
7977,0,9,6
38485,0,0,1
41147,5,0,20
5488,0,1,4
33078,1,5,11
60830,3,2,2
26264,5,3,4
83670,0,1,3
6663,4,9,16
76096,4,8,76
66545,1,3,5
23564,40,20,50
58617,14,14,28
44747,30,340,1170
81058,2,2,18
57984,0,8,20
50766,135,369,981
80136,20,16,14
26345,11,49,223
15330,57,82,109
23486,84,182,392
84888,2,1,0
9151,1,0,1
34468,75,135,393
66689,3,24,6
61269,15,39,70
71169,1,21,88
15272,7,11,15
56042,9,28,87
20696,1,2,1
15,0,0,2
15163,0,0,1
59022,2,2,2
3193,6,8,17
45671,0,1,18
6483,14,24,50
28403,5,38,209
66319,0,4,3
44247,4,16,88
58138,2,0,4
25424,0,1,1
44362,6,9,10
82347,35,203,847
31652,126,324,459
40545,0,2,3
4280,0,0,2
3504,172,292,1048
70768,1,0,1
68026,112,328,392
46663,2,5,6
66668,9,0,6
9758,0,1,1
77375,0,0,1
47819,0,11,11
66240,3,2,8
64721,0,0,3
8605,3,16,95
75861,12,52,120
36066,12,92,92
73140,18,30,24
27821,0,4,2
15075,1,0,0
10537,0,1,0
43232,16,28,49
61694,0,42,216
57759,6,4,8
42656,0,1,4
43066,4,7,26
1144,2,12,38
64406,0,1,2
31719,0,0,1
49770,7,7,14
53638,9,9,9
53148,0,1,8
77786,0,0,1
39757,4,6,60
24596,20,230,610
42419,16,28,33
62915,0,3,0
78134,8,16,14
18055,2,2,2
21504,3,10,14
4754,0,1,0
47692,0,2,29
389,26,34,90
49911,24,60,100
1683,0,0,5
50318,42,100,117
41904,1,0,1
78102,3,7,26
31653,14,36,51
82195,2,2,6
23554,12,36,96
53449,0,9,0
8853,0,2,0
49402,18,12,72
60487,117,126,132
22610,1,1,9
7751,36,90,426
43688,36,102,240
66499,0,0,3
4252,1,2,2
7346,111,186,318
8274,4,4,14
64178,2,1,0
61600,16,32,26
72480,42,128,527
20513,2,0,2
34928,12,4,4
48897,0,1,3
84853,10,20,90
32169,0,1,4
62945,1,2,4
11043,0,2,4
9113,0,49,175
82582,1,2,23
12623,0,1,0
40434,0,0,1
15374,6,6,6
70534,6,8,17
38860,1,2,3
14812,0,0,10
23163,0,2,2
62671,45,36,33
12252,20,41,53
30533,1,5,11
75230,4,12,20
64850,176,232,210
5091,54,48,78
75163,13,12,42
18843,8,32,12
1043,18,42,18
67549,6,3,36
44578,15,90,365
65019,168,140,119
42904,0,10,8
64957,6,66,146
52692,110,278,1072
67900,0,20,36
13435,1,5,10
11265,3,3,0
81414,140,193,265
61667,0,1,2
45870,0,5,45
57020,15,50,674
17051,30,14,9
18763,6,15,30
26938,0,0,4
30576,0,1,0
30092,0,3,0
50258,119,251,200
81329,0,0,1
71732,1,3,3
51066,0,1,1
56575,2,0,2
39826,11,22,35
38241,0,1,8
58881,10,13,23
43729,1,3,6
53961,9,6,36
28530,0,0,1
52265,2,0,4
47392,1,0,1
77332,38,153,364
74897,6,10,12
